Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
305,SUCCESS,5,7,0.22,13.12,13.34
352,SUCCESS,3,2,0.53,12.89,13.42
269,SUCCESS,5,8,0.57,12.89,13.46
248,SUCCESS,4,5,0.47,13,13.47
320,SUCCESS,4,4,0.58,13,13.58
221,SUCCESS,3,3,0.71,12.89,13.6
286,SUCCESS,4,6,0.39,13.3,13.69
409,SUCCESS,5,9,0.47,13.23,13.7
233,SUCCESS,3,3,0.2,13.6,13.8
260,SUCCESS,4,5,0.36,13.47,13.83
315,SUCCESS,5,7,0.56,13.34,13.9
322,SUCCESS,3,1,0.66,13.25,13.91
369,SUCCESS,3,2,0.49,13.42,13.91
295,SUCCESS,4,6,0.25,13.69,13.94
242,SUCCESS,3,3,0.22,13.8,14.02
421,SUCCESS,5,9,0.41,13.7,14.11
333,SUCCESS,4,4,0.57,13.58,14.15
244,SUCCESS,3,3,0.16,14.02,14.18
277,SUCCESS,5,8,0.76,13.46,14.22
263,SUCCESS,4,5,0.43,13.83,14.26
301,SUCCESS,4,6,0.32,13.94,14.26
381,SUCCESS,3,2,0.4,13.91,14.3
436,SUCCESS,5,9,0.22,14.11,14.33
350,SUCCESS,4,4,0.22,14.15,14.37
337,SUCCESS,3,1,0.51,13.91,14.41
287,SUCCESS,5,8,0.22,14.22,14.44
275,SUCCESS,4,5,0.22,14.26,14.48
308,SUCCESS,4,6,0.22,14.26,14.48
245,SUCCESS,3,3,0.34,14.18,14.52
326,SUCCESS,5,7,0.66,13.9,14.55
349,SUCCESS,3,1,0.22,14.41,14.63
441,SUCCESS,5,9,0.33,14.33,14.66
355,SUCCESS,4,4,0.3,14.37,14.67
356,SUCCESS,3,1,0.17,14.63,14.81
293,SUCCESS,5,8,0.43,14.44,14.87
391,SUCCESS,3,2,0.61,14.3,14.92
338,SUCCESS,5,7,0.43,14.55,14.98
299,SUCCESS,5,8,0.11,14.87,14.98
361,SUCCESS,3,1,0.22,14.81,15.03
314,SUCCESS,4,6,0.57,14.48,15.05
448,SUCCESS,5,9,0.43,14.66,15.09
404,SUCCESS,3,2,0.22,14.92,15.14
252,SUCCESS,3,3,0.61,14.52,15.14
276,SUCCESS,4,5,0.68,14.48,15.16
346,SUCCESS,5,7,0.22,14.98,15.2
300,SUCCESS,5,8,0.22,14.98,15.2
365,SUCCESS,4,4,0.6,14.67,15.27
324,SUCCESS,4,6,0.22,15.05,15.27
462,SUCCESS,5,9,0.23,15.09,15.33
285,SUCCESS,4,5,0.22,15.16,15.38
261,SUCCESS,3,3,0.27,15.14,15.4
382,SUCCESS,4,4,0.23,15.27,15.5
366,SUCCESS,3,1,0.49,15.03,15.51
411,SUCCESS,3,2,0.38,15.14,15.51
307,SUCCESS,5,8,0.34,15.2,15.54
328,SUCCESS,4,6,0.34,15.27,15.61
351,SUCCESS,5,7,0.45,15.2,15.65
318,SUCCESS,5,8,0.22,15.54,15.76
477,SUCCESS,5,9,0.43,15.33,15.76
384,SUCCESS,4,4,0.3,15.5,15.8
418,SUCCESS,3,2,0.37,15.51,15.88
331,SUCCESS,4,6,0.3,15.61,15.91
376,SUCCESS,3,1,0.48,15.51,15.99
262,SUCCESS,3,3,0.59,15.4,15.99
289,SUCCESS,4,5,0.64,15.38,16.02
493,SUCCESS,5,9,0.28,15.76,16.03
342,SUCCESS,4,6,0.22,15.91,16.13
496,SUCCESS,5,9,0.11,16.03,16.14
426,SUCCESS,3,2,0.28,15.88,16.16
392,SUCCESS,4,4,0.44,15.8,16.24
304,SUCCESS,4,5,0.22,16.02,16.24
364,SUCCESS,5,7,0.67,15.65,16.31
497,SUCCESS,5,9,0.3,16.14,16.44
385,SUCCESS,3,1,0.48,15.99,16.47
306,SUCCESS,4,5,0.25,16.24,16.49
380,SUCCESS,5,7,0.24,16.31,16.55
319,SUCCESS,5,8,0.79,15.76,16.55
434,SUCCESS,3,2,0.42,16.16,16.58
511,SUCCESS,5,9,0.25,16.44,16.69
343,SUCCESS,4,6,0.67,16.13,16.8
383,SUCCESS,5,7,0.29,16.55,16.84
274,SUCCESS,3,3,0.88,15.99,16.87
401,SUCCESS,4,4,0.67,16.24,16.91
521,SUCCESS,5,9,0.28,16.69,16.97
443,SUCCESS,3,2,0.4,16.58,16.98
393,SUCCESS,5,7,0.23,16.84,17.08
402,SUCCESS,3,1,0.62,16.47,17.09
358,SUCCESS,4,6,0.35,16.8,17.15
332,SUCCESS,5,8,0.64,16.55,17.19
525,SUCCESS,5,9,0.22,16.97,17.19
454,SUCCESS,3,2,0.22,16.98,17.2
309,SUCCESS,4,5,0.77,16.49,17.27
456,SUCCESS,3,2,0.18,17.2,17.37
368,SUCCESS,4,6,0.23,17.15,17.38
396,SUCCESS,5,7,0.37,17.08,17.45
412,SUCCESS,3,1,0.4,17.09,17.48
417,SUCCESS,4,4,0.58,16.91,17.49
530,SUCCESS,5,9,0.37,17.19,17.56
422,SUCCESS,3,1,0.11,17.48,17.59
464,SUCCESS,3,2,0.22,17.37,17.59
371,SUCCESS,4,6,0.29,17.38,17.66
344,SUCCESS,5,8,0.48,17.19,17.67
284,SUCCESS,3,3,0.84,16.87,17.7
405,SUCCESS,5,7,0.33,17.45,17.78
540,SUCCESS,5,9,0.22,17.56,17.78
423,SUCCESS,3,1,0.23,17.59,17.82
425,SUCCESS,3,1,0.11,17.82,17.93
469,SUCCESS,3,2,0.34,17.59,17.93
325,SUCCESS,4,5,0.67,17.27,17.94
429,SUCCESS,4,4,0.56,17.49,18.05
546,SUCCESS,5,9,0.28,17.78,18.06
475,SUCCESS,3,2,0.18,17.93,18.11
439,SUCCESS,4,4,0.12,18.05,18.17
354,SUCCESS,5,8,0.5,17.67,18.17
378,SUCCESS,4,6,0.66,17.66,18.33
367,SUCCESS,5,8,0.18,18.17,18.35
485,SUCCESS,3,2,0.34,18.11,18.45
413,SUCCESS,5,7,0.68,17.78,18.46
555,SUCCESS,5,9,0.4,18.06,18.46
339,SUCCESS,4,5,0.57,17.94,18.51
431,SUCCESS,3,1,0.64,17.93,18.56
567,SUCCESS,5,9,0.13,18.46,18.59
388,SUCCESS,4,6,0.31,18.33,18.63
303,SUCCESS,3,3,0.97,17.7,18.67
370,SUCCESS,5,8,0.35,18.35,18.7
574,SUCCESS,5,9,0.11,18.59,18.7
347,SUCCESS,4,5,0.24,18.51,18.74
440,SUCCESS,3,1,0.28,18.56,18.85
445,SUCCESS,4,4,0.68,18.17,18.85
427,SUCCESS,5,7,0.39,18.46,18.86
494,SUCCESS,3,2,0.5,18.45,18.96
450,SUCCESS,3,1,0.22,18.85,19.07
576,SUCCESS,5,9,0.45,18.7,19.15
398,SUCCESS,4,6,0.54,18.63,19.17
506,SUCCESS,3,2,0.22,18.96,19.18
375,SUCCESS,5,8,0.56,18.7,19.26
353,SUCCESS,4,5,0.54,18.74,19.28
510,SUCCESS,3,2,0.12,19.18,19.3
591,SUCCESS,5,9,0.22,19.15,19.37
451,SUCCESS,3,1,0.34,19.07,19.41
455,SUCCESS,4,4,0.58,18.85,19.43
433,SUCCESS,5,7,0.66,18.86,19.52
316,SUCCESS,3,3,0.85,18.67,19.52
513,SUCCESS,3,2,0.33,19.3,19.63
470,SUCCESS,4,4,0.28,19.43,19.72
594,SUCCESS,5,9,0.37,19.37,19.74
460,SUCCESS,3,1,0.39,19.41,19.81
447,SUCCESS,5,7,0.33,19.52,19.85
410,SUCCESS,4,6,0.68,19.17,19.86
386,SUCCESS,5,8,0.7,19.26,19.96
610,SUCCESS,5,9,0.22,19.74,19.96
362,SUCCESS,4,5,0.68,19.28,19.97
472,SUCCESS,3,1,0.22,19.81,20.03
613,SUCCESS,5,9,0.11,19.96,20.07
522,SUCCESS,3,2,0.51,19.63,20.14
420,SUCCESS,4,6,0.36,19.86,20.22
479,SUCCESS,4,4,0.61,19.72,20.33
329,SUCCESS,3,3,0.84,19.52,20.36
457,SUCCESS,5,7,0.52,19.85,20.37
532,SUCCESS,3,2,0.33,20.14,20.47
614,SUCCESS,5,9,0.41,20.07,20.48
476,SUCCESS,3,1,0.61,20.03,20.64
400,SUCCESS,5,8,0.73,19.96,20.69
373,SUCCESS,4,5,0.73,19.97,20.7
498,SUCCESS,3,1,0.11,20.64,20.75
627,SUCCESS,5,9,0.31,20.48,20.8
432,SUCCESS,4,6,0.59,20.22,20.81
499,SUCCESS,3,1,0.11,20.75,20.86
538,SUCCESS,3,2,0.39,20.47,20.86
467,SUCCESS,5,7,0.53,20.37,20.91
502,SUCCESS,4,4,0.59,20.33,20.92
639,SUCCESS,5,9,0.22,20.8,21.02
345,SUCCESS,3,3,0.66,20.36,21.02
480,SUCCESS,5,7,0.22,20.91,21.13
416,SUCCESS,5,8,0.44,20.69,21.13
387,SUCCESS,4,5,0.52,20.7,21.22
481,SUCCESS,5,7,0.11,21.13,21.24
