TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1190,30.000000000000178,36,10,15,28.74830488592167,-66.89643317575499,12493.0,48.0,5.0,7.0,9.0,915.0,2.05,5.74,655.9,3
1191,24.64500000000017,47,18,22,69.10841883010707,87.73055513081806,15119.0,40.0,4.0,4.0,7.0,919.0,0.83,5.89,661.02,5
1192,20.12000000000005,94,13,19,57.56776407414023,56.57990902480404,13496.0,40.0,4.0,4.0,7.0,919.0,0.7,10.86,661.35,5
1193,22.445526475958722,25,14,14,38.34172242278751,162.39862665252576,8123.0,37.0,4.0,9.0,6.0,921.0,0.42,3.76,654.45,4
1194,16.057601947656664,74,17,23,81.53385144045026,-37.534807003791116,12609.0,37.0,4.0,9.0,6.0,921.0,0.77,8.93,661.11,4
1195,21.125526475958686,73,15,21,20.467917818352348,-133.0868671948698,4928.0,37.0,4.0,9.0,6.0,921.0,0.83,8.65,653.34,4
1196,14.509999999999945,49,16,25,30.999952995072434,-66.97238790181656,12738.0,48.0,5.0,7.0,9.0,915.0,1.14,7.98,656.77,3
1197,14.509999999999945,41,10,25,60.64354451211793,36.68108808033395,13820.0,40.0,4.0,4.0,7.0,919.0,0.55,4.91,659.25,5
1198,22.555526475958725,82,15,15,31.867018847516263,-111.00991408974944,7191.0,37.0,4.0,9.0,6.0,921.0,0.45,9.55,655.85,4
1199,30.150000000000176,30,18,17,-83.8479810560914,-43.52307114222833,1329.0,48.0,5.0,7.0,9.0,915.0,2.32,5.46,644.71,3
1200,24.865000000000176,72,11,18,77.54237359403666,36.79285188131675,15691.0,40.0,4.0,4.0,7.0,919.0,0.68,8.36,662.54,5
1201,14.069999999999947,92,16,20,-68.14099033486762,115.87825819073998,3226.0,48.0,5.0,7.0,9.0,915.0,0.61,14.0,649.51,3
1202,20.230000000000054,17,13,10,53.939318792804414,-17.056600929003338,14110.0,40.0,4.0,4.0,7.0,919.0,0.37,2.39,658.48,5
1203,25.085000000000182,56,18,24,43.60542445956003,61.81493315443274,12000.0,40.0,4.0,4.0,7.0,919.0,0.9,6.88,658.32,5
1204,30.320000000000178,13,20,20,-34.880728491725414,-72.6336008269453,5420.0,48.0,5.0,7.0,9.0,915.0,2.73,3.22,648.03,3
1205,22.66552647595873,34,10,11,10.536806404031722,135.19444645908072,8760.0,37.0,4.0,9.0,6.0,921.0,0.33,4.3,655.28,4
1206,20.340000000000057,40,19,23,-42.30555489609023,59.50631607145368,2533.0,40.0,4.0,4.0,7.0,919.0,0.84,5.16,648.15,5
1207,14.619999999999944,27,17,12,33.30435277219999,-46.475526859323764,13381.0,48.0,5.0,7.0,9.0,915.0,0.55,4.97,656.03,3
1208,16.167601947656667,33,15,23,11.054482186473749,-100.59891402481432,6520.0,37.0,4.0,9.0,6.0,921.0,0.77,4.65,653.31,4
1209,14.619999999999944,21,15,12,-3.73766543398753,99.60726855070732,7955.0,40.0,4.0,4.0,7.0,919.0,0.26,2.91,652.5,5
1210,14.729999999999944,17,19,25,36.113519861178645,55.351402998460344,11112.0,40.0,4.0,4.0,7.0,919.0,0.55,2.63,655.63,5
1211,21.345526475958692,94,18,13,51.102604795568425,141.62803816597756,10276.0,37.0,4.0,9.0,6.0,921.0,0.51,11.02,659.54,4
1212,14.729999999999944,90,17,25,-19.333030761519723,143.44873950117136,7941.0,48.0,5.0,7.0,9.0,915.0,1.14,13.79,654.3,3
1213,22.77552647595873,54,20,25,35.957484107371684,-136.04470848257156,6443.0,37.0,4.0,9.0,6.0,921.0,0.75,7.2,654.25,4
1214,21.455526475958695,86,11,12,51.79243385485907,-94.89295093573527,9677.0,37.0,4.0,9.0,6.0,921.0,0.47,9.59,658.35,4
1215,14.179999999999946,96,19,21,22.65886799120662,110.0131914229267,13211.0,48.0,5.0,7.0,9.0,915.0,0.64,14.77,659.81,3
1216,30.520000000000177,44,11,18,-19.895791953442938,129.28018775484594,8179.0,48.0,5.0,7.0,9.0,915.0,2.45,6.93,652.19,3
1217,25.328333333333518,46,15,19,19.814014075295262,106.22621184468932,10651.0,40.0,4.0,4.0,7.0,919.0,0.71,5.66,656.43,5
1218,30.700000000000177,71,14,15,-68.29509987858991,167.48439883732703,2246.0,48.0,5.0,7.0,9.0,915.0,2.05,10.92,647.73,3
