TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,CpuTime,StartExecTime,getFinishTime,DataCenterID,VmID
587,67,15,13,2.922632669,68.0,0.6658204334365294,32.32076745572374,32.98658788916027,4,8
588,71,12,12,0.68,17.0,0.9382828282828299,44.23463203463207,45.1729148629149,3,5
589,92,20,15,1.56,39.0,0.7634173669467756,32.98658788916027,33.750005256107045,4,8
590,79,12,14,0.986117497,27.0,0.44000000000001194,24.661804062126677,25.10180406212669,5,14
591,77,14,24,3.277345538,63.0,3.3364835164835114,116.77623154623163,120.11271506271514,3,2
592,59,12,23,3.6,90.0,1.317943131486004,47.28046208872568,48.59840522021168,4,7
593,43,13,18,7.0,91.0,0.5993103448275932,25.781983685576616,26.38129403040421,5,13
594,96,13,22,3.976725638,68.0,2.372027972027965,84.74404706404715,87.11607503607512,3,3
595,10,13,12,0.64,16.0,-1.0,0.0,-1.0,-1,15
596,17,14,22,6.153846154,80.0,0.8716606929510249,27.1164792155894,27.988139908540425,5,11
597,56,14,11,2.76,69.0,0.46224256292905963,31.63852489279468,32.10076745572374,4,10
598,44,10,15,2.239215686,34.0,0.6752941176470557,32.10076745572374,32.7760615733708,4,10
599,29,15,23,2.831909633,66.0,0.8680645161290421,20.64964569686484,21.517710212993883,5,12
600,41,18,21,3.08,77.0,1.3718438038831096,43.94218179720402,45.31402560108713,4,6
601,51,11,12,3.0,39.0,1.019999999999996,58.83474081474086,59.85474081474086,3,4
602,29,19,15,5.140241781,77.0,2.8918181818181807,116.59441336441344,119.48623154623162,3,1
603,76,17,19,4.384615385,57.0,3.6772993672993692,119.48623154623162,123.16353091353099,3,1
604,53,11,16,1.72,43.0,0.6050657108721644,27.988139908540425,28.59320561941259,5,11
605,96,12,10,5.230769231,68.0,0.46072463768116023,28.979565794281122,29.440290431962282,4,9
606,74,14,20,3.433461047,93.0,2.186480186480182,87.11607503607512,89.3025552225553,3,3
607,47,10,14,2.961997064,63.0,0.5293548387096791,21.517710212993883,22.047065051703562,5,12
608,82,10,16,4.615384615,60.0,0.7359254273791933,29.440290431962282,30.176215859341475,4,9
609,84,14,22,2.866666667,43.0,1.2581439532334642,48.59840522021168,49.856549173445146,4,7
610,15,16,20,2.96,74.0,0.7866646067647238,28.59320561941259,29.379870226177314,5,11
611,16,10,16,2.283709273,35.0,0.5077658303464787,25.10180406212669,25.609569892473168,5,14
612,77,14,17,3.846153846,50.0,1.871660561660562,89.3025552225553,91.17421578421586,3,3
613,48,15,23,2.386693075,41.0,1.0683959899749382,30.176215859341475,31.244611849316414,4,9
614,49,10,19,2.153846154,28.0,3.724119214119227,123.16353091353099,126.88765012765022,3,1
615,78,15,15,2.532413793,69.0,2.8099666999666937,126.88765012765022,129.6976168276169,3,1
616,11,20,15,2.028571429,31.0,0.5353285543608166,22.047065051703562,22.58239360606438,5,12
617,59,13,20,3.58041958,40.0,1.7454767454767435,59.85474081474086,61.6002175602176,3,4
618,47,16,10,3.252012384,49.0,0.39241379310345437,25.609569892473168,26.001983685576622,5,14
619,67,10,20,1.4,35.0,0.9661556064073267,31.244611849316414,32.21076745572374,4,9
620,83,12,23,1.076923077,14.0,0.7944955300127781,26.001983685576622,26.7964792155894,5,14
621,56,13,21,3.908347531,75.0,1.8575868575868526,61.6002175602176,63.457804417804454,3,4
622,55,19,16,3.222222222,36.0,1.0452076482767083,45.31402560108713,46.35923324936384,4,6
623,23,17,13,0.72,18.0,0.4151851851851909,26.38129403040421,26.7964792155894,5,13
624,11,20,21,4.384615385,57.0,0.9662966239127186,32.21076745572374,33.17706407963646,4,9
625,38,14,24,0.68,17.0,0.854838709677427,22.58239360606438,23.437232315741806,5,12
626,21,12,11,3.48,87.0,0.9350649350649292,63.457804417804454,64.39286935286938,3,4
627,28,15,13,4.711144806,89.0,0.7186956521739134,33.750005256107045,34.46870090828096,4,8
628,49,10,18,5.692307692,74.0,3.543766233766206,129.6976168276169,133.24138306138312,3,1
629,95,15,22,3.016206897,88.0,3.0508158508158516,120.11271506271514,123.16353091353099,3,2
630,80,10,11,2.613104372,55.0,0.6935817805383095,46.35923324936384,47.05281502990215,4,6
631,68,19,25,5.384615385,70.0,0.7764755077658343,26.7964792155894,27.572954723355235,5,14
632,72,17,19,1.72,43.0,0.8639436827362488,32.7760615733708,33.640005256107045,4,10
633,100,18,11,4.882256729,92.0,1.5426784326784286,123.16353091353099,124.70620934620942,3,2
634,65,10,24,3.538461538,46.0,1.5455901903095324,47.05281502990215,48.59840522021168,4,6
635,17,10,20,1.92,48.0,0.6409916367980948,27.572954723355235,28.21394636015333,5,14
636,64,13,15,6.461538462,84.0,2.963680763680742,133.24138306138312,136.20506382506386,3,1
637,84,10,22,3.6,90.0,4.290420690420689,136.20506382506386,140.49548451548455,3,1
638,52,15,22,2.326610644,35.0,0.6828076463560393,28.21394636015333,28.89675400650937,5,14
639,21,14,17,1.971929825,30.0,0.8786274509803889,34.46870090828096,35.34732835926135,4,8
640,98,14,17,6.769230769,88.0,1.5578632478632528,64.39286935286938,65.95073260073264,3,4
641,39,14,13,5.464483459,93.0,0.5729411764705858,33.17706407963646,33.750005256107045,4,9
642,26,19,12,2.16,54.0,0.41935483870967616,23.437232315741806,23.856587154451482,5,12
643,48,14,15,3.8,95.0,0.7186956521739134,33.750005256107045,34.46870090828096,4,9
644,60,18,22,6.153846154,80.0,2.4374514374514433,91.17421578421586,93.6116672216673,3,3
645,50,13,11,2.544586466,43.0,-1.0,0.0,-1.0,-1,15
646,37,10,20,3.670142043,70.0,1.188195488721803,49.856549173445146,51.04474466216695,4,7
647,28,12,21,4.384615385,57.0,0.6766646067647208,28.89675400650937,29.57341861327409,5,14
648,12,16,24,2.48,62.0,1.2335710119287953,35.34732835926135,36.58089937119014,4,8
