TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
144,21.28181818181818,69,14,53,-41.34148367437222,-176.24365457324723,63.24689495353044,-87.86374550916128,13951.0,56.0,15.0,23.0,23.0,3371.0,1.15,29.44,2385.77,5
145,21.7198347107438,18,14,77,-14.454761296890112,-131.39770564309677,63.24689495353044,-87.86374550916128,9413.0,56.0,15.0,23.0,23.0,3371.0,1.67,10.06,2373.64,5
146,17.173915706934572,97,11,60,30.499384841311297,111.56436148734167,69.11788034887269,60.650919370546035,5348.0,41.0,23.0,30.0,23.0,3376.0,1.34,47.92,2388.12,3
147,25.712523364485985,38,17,35,-23.615206923461713,-175.2854209769365,-77.10527729291653,94.68842319072581,7452.0,50.0,22.0,27.0,16.0,3369.0,1.5,19.03,2373.81,4
148,17.56352609654496,76,18,39,32.612347232658124,148.43895021767077,69.11788034887269,60.650919370546035,6559.0,41.0,23.0,30.0,23.0,3376.0,0.87,40.36,2386.16,3
149,17.816772849791715,77,19,69,59.27610010341101,39.93648527671405,69.11788034887269,60.650919370546035,1469.0,41.0,23.0,30.0,23.0,3376.0,1.54,41.12,2381.58,3
150,22.356198347107437,31,19,98,10.945180275081142,-34.778176976689,63.24689495353044,-87.86374550916128,7140.0,56.0,15.0,23.0,23.0,3371.0,2.13,16.15,2373.94,5
151,18.264824797843662,90,16,81,34.093776436991845,21.264296344750022,69.11788034887269,60.650919370546035,4586.0,41.0,23.0,30.0,23.0,3376.0,1.81,46.2,2386.81,3
152,23.16611570247934,88,11,89,64.53241966933018,-63.123951056748695,63.24689495353044,-87.86374550916128,1211.0,56.0,15.0,23.0,23.0,3371.0,1.93,35.97,2375.88,5
153,26.039626168224302,61,11,68,-25.74178292633215,-88.24809727143086,-77.10527729291653,94.68842319072581,8577.0,50.0,22.0,27.0,16.0,3369.0,2.91,26.15,2378.21,4
154,26.67514018691589,100,11,71,-50.48539497280908,-6.051446493339824,-77.10527729291653,94.68842319072581,4835.0,50.0,22.0,27.0,16.0,3369.0,3.04,40.97,2380.44,4
155,27.33869158878505,46,10,97,-45.27044925389975,-10.842701673328975,-77.10527729291653,94.68842319072581,5495.0,50.0,22.0,27.0,16.0,3369.0,4.16,20.18,2373.12,4
156,18.79079882381769,74,10,97,67.36921904168284,97.55114591635817,69.11788034887269,60.650919370546035,1509.0,41.0,23.0,30.0,23.0,3376.0,2.17,37.04,2380.18,3
157,23.901652892561984,68,16,41,84.74404597596049,137.31655655554687,63.24689495353044,-87.86374550916128,3410.0,56.0,15.0,23.0,23.0,3371.0,0.89,29.52,2375.19,5
158,24.240495867768594,40,12,70,61.97022904484115,-37.16761333755076,63.24689495353044,-87.86374550916128,2529.0,56.0,15.0,23.0,23.0,3371.0,1.52,17.96,2369.87,5
159,19.42066895368782,59,14,98,82.28090008240582,178.37736616456488,69.11788034887269,60.650919370546035,2820.0,41.0,23.0,30.0,23.0,3376.0,2.19,31.34,2379.21,3
160,20.057032590051456,24,11,30,27.64865220793061,34.163537315262744,69.11788034887269,60.650919370546035,4921.0,41.0,23.0,30.0,23.0,3376.0,0.67,14.34,2374.06,3
161,24.81900826446281,85,10,65,80.33090747975487,42.59546939570018,63.24689495353044,-87.86374550916128,3755.0,56.0,15.0,23.0,23.0,3371.0,1.41,34.6,2377.72,5
162,28.245233644859816,38,15,49,11.50551050843751,-33.93235771234171,-77.10527729291653,94.68842319072581,12156.0,50.0,22.0,27.0,16.0,3369.0,2.1,18.49,2378.48,4
163,28.703177570093462,97,14,21,-2.4710154151959216,-136.63758726217654,-77.10527729291653,94.68842319072581,10628.0,50.0,22.0,27.0,16.0,3369.0,0.9,40.64,2385.45,4
164,20.25183778485665,16,17,27,52.77050734277702,-171.1058515029694,69.11788034887269,60.650919370546035,5824.0,41.0,23.0,30.0,23.0,3376.0,0.6,12.46,2374.19,3
165,28.899439252336453,75,12,98,-37.006146502218925,-152.13410097223903,-77.10527729291653,94.68842319072581,6549.0,50.0,22.0,27.0,16.0,3369.0,4.2,31.74,2378.81,4
166,29.815327102803742,19,10,79,-57.02150975133278,28.32569854596767,-77.10527729291653,94.68842319072581,3330.0,50.0,22.0,27.0,16.0,3369.0,3.39,9.92,2366.62,4
167,25.356198347107437,73,20,92,29.784127310483427,-33.50759755160493,63.24689495353044,-87.86374550916128,5319.0,56.0,15.0,23.0,23.0,3371.0,2.0,32.34,2378.56,5
168,20.427162460181325,79,20,61,5.437947481911934,-26.672628754607786,69.11788034887269,60.650919370546035,9336.0,41.0,23.0,30.0,23.0,3376.0,1.37,42.34,2389.88,3
169,26.116528925619832,80,20,13,-14.673455877548548,-40.46375648620804,63.24689495353044,-87.86374550916128,9570.0,56.0,15.0,23.0,23.0,3371.0,0.28,35.0,2383.35,5
170,20.82326635628522,62,17,25,80.8972481199018,21.07620819227651,69.11788034887269,60.650919370546035,1665.0,41.0,23.0,30.0,23.0,3376.0,0.56,33.62,2378.48,3
171,20.985604018622883,70,18,36,88.08463924760784,147.28780755824897,69.11788034887269,60.650919370546035,2318.0,41.0,23.0,30.0,23.0,3376.0,0.81,37.6,2380.8,3
172,30.553644859813087,96,13,71,-53.31492141953912,170.07957787624707,-77.10527729291653,94.68842319072581,3934.0,50.0,22.0,27.0,16.0,3369.0,3.04,39.99,2379.14,4
173,21.219370252389115,89,12,54,-15.646143209608297,107.2460895966554,69.11788034887269,60.650919370546035,10110.0,41.0,23.0,30.0,23.0,3376.0,1.21,44.54,2391.49,3
174,26.226528925619835,74,14,92,11.178792963781305,144.04412240234166,63.24689495353044,-87.86374550916128,10641.0,56.0,15.0,23.0,23.0,3371.0,2.0,31.34,2383.48,5
175,21.570019603038467,37,18,69,83.69622976589133,-157.41248506628892,69.11788034887269,60.650919370546035,2904.0,41.0,23.0,30.0,23.0,3376.0,1.54,22.42,2375.53,3
176,31.217196261682247,14,20,52,-83.89261677647549,-164.41257326277696,-77.10527729291653,94.68842319072581,1696.0,50.0,22.0,27.0,16.0,3369.0,2.23,10.72,2364.95,4
177,26.98685950413223,33,20,86,73.98281041139145,-159.50060260413304,63.24689495353044,-87.86374550916128,2910.0,56.0,15.0,23.0,23.0,3371.0,1.87,17.14,2370.03,5
178,27.697603305785123,97,11,95,53.88524441130818,-148.85093527738283,63.24689495353044,-87.86374550916128,3534.0,56.0,15.0,23.0,23.0,3371.0,2.07,39.39,2379.61,5
179,22.018071551090415,12,20,80,21.31335489731282,-11.9884335482746,69.11788034887269,60.650919370546035,7114.0,41.0,23.0,30.0,23.0,3376.0,1.79,11.52,2375.46,3
180,31.703177570093462,14,18,91,-53.74179756149771,-115.86018475945197,-77.10527729291653,94.68842319072581,5309.0,50.0,22.0,27.0,16.0,3369.0,3.9,10.18,2368.85,4
181,32.55364485981309,36,15,70,-21.76611146173181,-69.89298515329867,-77.10527729291653,94.68842319072581,8972.0,50.0,22.0,27.0,16.0,3369.0,3.0,17.73,2375.26,4
182,22.537552070570936,44,13,38,71.2045814686804,41.858562567720156,69.11788034887269,60.650919370546035,742.0,41.0,23.0,30.0,23.0,3376.0,0.85,24.14,2373.85,3
183,22.784305317324183,24,13,98,80.11616296453249,92.83530551357876,69.11788034887269,60.650919370546035,1504.0,41.0,23.0,30.0,23.0,3376.0,2.19,14.94,2371.34,3
184,28.48272727272727,36,13,61,33.295130668595675,120.74722142864965,63.24689495353044,-87.86374550916128,8984.0,56.0,15.0,23.0,23.0,3371.0,1.33,16.67,2375.75,5
185,23.42066895368782,20,19,66,60.41212970266719,29.2331461347392,69.11788034887269,60.650919370546035,1746.0,41.0,23.0,30.0,23.0,3376.0,1.48,14.9,2371.35,3
